game_num,play_date,game_type,result,game_length,champ_name,spell_d,spell_f,level,creep_score,cs_1m
5554811542,2021-11-08,자유 5:5 랭크,승리,1900-01-01 00:15:16,탐 켄치,점멸,순간이동,11,131,8.6
5554761116,2021-11-08,자유 5:5 랭크,다시하기,1900-01-01 00:15:16,탐 켄치,점멸,순간이동,3,14,4.0
5554653886,2021-11-08,자유 5:5 랭크,패배,1900-01-01 00:15:16,릴리아,점멸,순간이동,14,149,5.2
5554537786,2021-11-08,자유 5:5 랭크,승리,1900-01-01 00:15:16,벡스,점멸,점화,15,153,4.9
5553276248,2021-11-08,자유 5:5 랭크,패배,1900-01-01 00:15:16,라이즈,점멸,순간이동,14,164,6.5
5553246416,2021-11-07,자유 5:5 랭크,승리,1900-01-01 00:15:16,탐 켄치,점멸,순간이동,16,174,5.6
5553154933,2021-11-07,자유 5:5 랭크,승리,1900-01-01 00:15:16,나서스,점멸,순간이동,18,203,4.8
5552968480,2021-11-07,자유 5:5 랭크,승리,1900-01-01 00:15:16,벡스,점멸,점화,15,169,5.9
5553000569,2021-11-07,자유 5:5 랭크,승리,1900-01-01 00:15:16,탐 켄치,점멸,순간이동,12,131,6.3
5551232746,2021-11-07,자유 5:5 랭크,승리,1900-01-01 00:15:16,벡스,점멸,점화,14,150,7.0
5551147177,2021-11-07,자유 5:5 랭크,승리,1900-01-01 00:15:16,베인,점멸,유체화,12,122,6.4
5551062161,2021-11-07,자유 5:5 랭크,패배,1900-01-01 00:15:16,뽀삐,점멸,순간이동,12,123,6.0
5550499049,2021-11-06,자유 5:5 랭크,승리,1900-01-01 00:15:16,탐 켄치,점멸,순간이동,18,281,7.4
5550522923,2021-11-06,자유 5:5 랭크,승리,1900-01-01 00:15:16,퀸,점멸,정화,13,131,6.2
5550443887,2021-11-06,자유 5:5 랭크,패배,1900-01-01 00:15:16,릴리아,점멸,강타,15,148,4.6
5548862706,2021-11-06,자유 5:5 랭크,승리,1900-01-01 00:15:16,릴리아,점멸,순간이동,18,315,7.5
5548736001,2021-11-06,자유 5:5 랭크,승리,1900-01-01 00:15:16,탐 켄치,점멸,순간이동,15,127,4.5
5547560987,2021-11-05,자유 5:5 랭크,승리,1900-01-01 00:15:16,티모,점멸,점화,18,276,6.5
5547419136,2021-11-05,자유 5:5 랭크,승리,1900-01-01 00:15:16,나미,점멸,점화,9,6,0.4
5547464606,2021-11-05,자유 5:5 랭크,승리,1900-01-01 00:15:16,탐 켄치,점멸,순간이동,14,136,6.4
5547097252,2021-11-05,자유 5:5 랭크,승리,1900-01-01 00:15:16,릴리아,점멸,순간이동,18,251,6.3
5547082024,2021-11-05,자유 5:5 랭크,패배,1900-01-01 00:15:16,탐 켄치,점멸,순간이동,17,224,6.4
5545232380,2021-11-04,자유 5:5 랭크,패배,1900-01-01 00:15:16,나서스,점멸,순간이동,13,155,7.7
5544925311,2021-11-04,자유 5:5 랭크,패배,1900-01-01 00:15:16,모데카이저,점멸,순간이동,18,267,6.8
5544941321,2021-11-03,자유 5:5 랭크,다시하기,1900-01-01 00:15:16,탐 켄치,점화,순간이동,3,12,3.6
5544823820,2021-11-03,자유 5:5 랭크,패배,1900-01-01 00:15:16,진,점멸,회복,14,218,6.7
5544746214,2021-11-03,자유 5:5 랭크,패배,1900-01-01 00:15:16,이즈리얼,점멸,회복,14,196,5.9
5543328479,2021-11-02,자유 5:5 랭크,승리,1900-01-01 00:15:16,피오라,점멸,순간이동,15,181,6.1
5543391839,2021-11-02,자유 5:5 랭크,패배,1900-01-01 00:15:16,카밀,점화,순간이동,11,106,5.1
5543255633,2021-11-02,자유 5:5 랭크,승리,1900-01-01 00:15:16,탐 켄치,점멸,순간이동,12,102,6.7
5543157322,2021-11-02,자유 5:5 랭크,승리,1900-01-01 00:15:16,카밀,점화,순간이동,18,206,5.7
5542107850,2021-11-02,자유 5:5 랭크,승리,1900-01-01 00:15:16,티모,점멸,점화,16,237,8.8
5541839756,2021-11-01,자유 5:5 랭크,승리,1900-01-01 00:15:16,벡스,점멸,점화,17,180,4.9
5541880972,2021-11-01,자유 5:5 랭크,패배,1900-01-01 00:15:16,쉔,점멸,순간이동,16,178,5.1
5541733449,2021-11-01,자유 5:5 랭크,패배,1900-01-01 00:15:16,릴리아,점멸,순간이동,16,202,5.6
5541537039,2021-11-01,자유 5:5 랭크,승리,1900-01-01 00:15:16,뽀삐,점멸,강타,16,128,4.3
5540445452,2021-10-31,자유 5:5 랭크,승리,1900-01-01 00:15:16,베인,점멸,회복,13,182,6.0
5540338873,2021-10-31,자유 5:5 랭크,승리,1900-01-01 00:15:16,쉔,점멸,순간이동,14,124,5.1
5540293770,2021-10-31,자유 5:5 랭크,패배,1900-01-01 00:15:16,피오라,점멸,순간이동,14,153,5.6
5539275323,2021-10-31,자유 5:5 랭크,패배,1900-01-01 00:15:16,샤코,점화,강타,9,78,4.6
5539119133,2021-10-31,자유 5:5 랭크,패배,1900-01-01 00:15:16,티모,점멸,점화,15,167,5.6
5539075784,2021-10-31,우르프,패배,1900-01-01 00:15:16,유미,탈진,점화,13,17,1.2
5538496173,2021-10-31,자유 5:5 랭크,패배,1900-01-01 00:15:16,베인,점멸,회복,17,273,7.7
5538428712,2021-10-31,자유 5:5 랭크,승리,1900-01-01 00:15:16,칼리스타,점멸,회복,13,189,7.0
5538354692,2021-10-30,자유 5:5 랭크,패배,1900-01-01 00:15:16,카이사,점멸,회복,14,239,7.1
5538299696,2021-10-30,자유 5:5 랭크,패배,1900-01-01 00:15:16,탐 켄치,점멸,순간이동,11,80,4.2
5538285401,2021-10-30,자유 5:5 랭크,승리,1900-01-01 00:15:16,뽀삐,점멸,순간이동,12,136,6.6
5538219182,2021-10-30,우르프,패배,1900-01-01 00:15:16,벡스,점멸,점화,20,113,5.5
5536684470,2021-10-30,자유 5:5 랭크,패배,1900-01-01 00:15:16,릴리아,점멸,순간이동,18,361,7.1
5536468572,2021-10-30,자유 5:5 랭크,승리,1900-01-01 00:15:16,릴리아,점멸,순간이동,10,100,6.5
5536227716,2021-10-29,우르프,패배,1900-01-01 00:15:16,벡스,점멸,점화,20,170,8.7
5536119308,2021-10-29,자유 5:5 랭크,승리,1900-01-01 00:15:16,피오라,점멸,순간이동,18,213,5.7
5534579131,2021-10-28,자유 5:5 랭크,패배,1900-01-01 00:15:16,가렌,점멸,순간이동,18,322,7.7
5534515077,2021-10-28,자유 5:5 랭크,패배,1900-01-01 00:15:16,탐 켄치,점멸,순간이동,15,152,6.3
5534541021,2021-10-28,우르프,승리,1900-01-01 00:15:16,벡스,점멸,점화,14,94,7.9
5533258255,2021-10-28,자유 5:5 랭크,패배,1900-01-01 00:15:16,릴리아,점멸,순간이동,16,191,5.1
5533121986,2021-10-27,자유 5:5 랭크,승리,1900-01-01 00:15:16,릴리아,점멸,순간이동,17,199,6.0
5532994409,2021-10-27,자유 5:5 랭크,승리,1900-01-01 00:15:16,탐 켄치,점멸,순간이동,14,162,5.6
5532982060,2021-10-27,우르프,패배,1900-01-01 00:15:16,벡스,점멸,점화,13,92,7.2
5531846094,2021-10-27,자유 5:5 랭크,패배,1900-01-01 00:15:16,릴리아,점멸,순간이동,16,228,7.3
5531337898,2021-10-26,자유 5:5 랭크,패배,1900-01-01 00:15:16,탐 켄치,점멸,순간이동,18,274,5.4
5531233473,2021-10-26,솔랭,승리,1900-01-01 00:15:16,말파이트,점멸,순간이동,17,210,6.3
5531196250,2021-10-26,우르프,승리,1900-01-01 00:15:16,벡스,점멸,점화,20,138,7.6
5530024363,2021-10-25,자유 5:5 랭크,패배,1900-01-01 00:15:16,릴리아,점멸,순간이동,12,142,6.7
5529907489,2021-10-25,자유 5:5 랭크,승리,1900-01-01 00:15:16,릴리아,점멸,순간이동,17,198,6.9
5528749076,2021-10-25,자유 5:5 랭크,패배,1900-01-01 00:15:16,릴리아,점멸,순간이동,17,197,5.1
5528794678,2021-10-24,자유 5:5 랭크,승리,1900-01-01 00:15:16,쉔,점멸,순간이동,12,86,4.5
5528790944,2021-10-24,자유 5:5 랭크,승리,1900-01-01 00:15:16,벡스,점멸,점화,12,131,8.1
5528536443,2021-10-24,자유 5:5 랭크,패배,1900-01-01 00:15:16,탐 켄치,점멸,순간이동,16,190,5.7
5528551109,2021-10-24,우르프,패배,1900-01-01 00:15:16,마스터 이,점멸,유체화,23,134,6.2
5526965680,2021-10-24,자유 5:5 랭크,승리,1900-01-01 00:15:16,피오라,점멸,순간이동,16,191,6.7
5526853986,2021-10-24,자유 5:5 랭크,패배,1900-01-01 00:15:16,가렌,점멸,순간이동,12,136,6.2
5526575654,2021-10-23,자유 5:5 랭크,패배,1900-01-01 00:15:16,탐 켄치,점멸,순간이동,14,188,6.7
5525498095,2021-10-23,자유 5:5 랭크,패배,1900-01-01 00:15:16,나서스,점멸,순간이동,17,224,6.5
5525523682,2021-10-23,자유 5:5 랭크,승리,1900-01-01 00:15:16,나미,점멸,점화,9,10,0.5
5525470953,2021-10-23,우르프,승리,1900-01-01 00:15:16,유미,탈진,점화,24,36,1.8
5524842374,2021-10-23,자유 5:5 랭크,패배,1900-01-01 00:15:16,베인,점멸,유체화,12,128,6.0
5524718121,2021-10-23,자유 5:5 랭크,승리,1900-01-01 00:15:16,피오라,점멸,순간이동,15,195,6.9
5524695480,2021-10-23,자유 5:5 랭크,패배,1900-01-01 00:15:16,릴리아,점멸,순간이동,11,134,8.3
5524505205,2021-10-22,우르프,패배,1900-01-01 00:15:16,사일러스,점멸,탈진,18,73,4.0
5524434270,2021-10-22,자유 5:5 랭크,승리,1900-01-01 00:15:16,탐 켄치,점멸,순간이동,16,173,6.4
5524328146,2021-10-22,자유 5:5 랭크,승리,1900-01-01 00:15:16,피오라,점멸,순간이동,16,176,5.8
5524239667,2021-10-22,자유 5:5 랭크,승리,1900-01-01 00:15:16,릴리아,점멸,순간이동,13,135,5.5
5524241768,2021-10-22,우르프,패배,1900-01-01 00:15:16,사일러스,점멸,점화,20,98,4.3
5522955123,2021-10-21,자유 5:5 랭크,승리,1900-01-01 00:15:16,탐 켄치,점멸,순간이동,18,339,6.3
5522891752,2021-10-21,우르프,승리,1900-01-01 00:15:16,카이사,점멸,유체화,20,163,8.8
5522556505,2021-10-21,자유 5:5 랭크,승리,1900-01-01 00:15:16,피오라,점멸,순간이동,13,152,7.4
5522531788,2021-10-21,자유 5:5 랭크,승리,1900-01-01 00:15:16,탐 켄치,점멸,순간이동,14,141,7.2
5522408511,2021-10-21,우르프,승리,1900-01-01 00:15:16,베이가,점멸,유체화,16,82,5.7
5521671200,2021-10-21,자유 5:5 랭크,패배,1900-01-01 00:15:16,릴리아,점멸,순간이동,15,152,4.5
5521206035,2021-10-20,자유 5:5 랭크,패배,1900-01-01 00:15:16,이즈리얼,점멸,회복,16,209,6.2
5520909431,2021-10-20,우르프,승리,1900-01-01 00:15:16,마스터 이,점멸,방어막,25,152,6.4
5518024752,2021-10-18,자유 5:5 랭크,패배,1900-01-01 00:15:16,말자하,점멸,순간이동,15,234,6.7
5517838539,2021-10-18,자유 5:5 랭크,패배,1900-01-01 00:15:16,벡스,점멸,점화,13,156,6.0
5517019717,2021-10-18,자유 5:5 랭크,승리,1900-01-01 00:15:16,라이즈,점멸,순간이동,12,138,6.5
5517033069,2021-10-17,자유 5:5 랭크,승리,1900-01-01 00:15:16,릴리아,점멸,순간이동,18,275,8.0
5516810867,2021-10-17,자유 5:5 랭크,패배,1900-01-01 00:15:16,탐 켄치,점멸,순간이동,18,212,6.3
5515823715,2021-10-17,자유 5:5 랭크,승리,1900-01-01 00:15:16,퀸,점멸,순간이동,16,185,6.6
5514994111,2021-10-17,솔랭,승리,1900-01-01 00:15:16,탐 켄치,점멸,순간이동,12,124,7.7
5514786499,2021-10-16,솔랭,승리,1900-01-01 00:15:16,라이즈,점멸,순간이동,15,217,8.0
5514790288,2021-10-16,솔랭,패배,1900-01-01 00:15:16,릴리아,점멸,순간이동,13,119,4.7
5514675635,2021-10-16,솔랭,승리,1900-01-01 00:15:16,탐 켄치,점멸,순간이동,13,123,6.6
5512698134,2021-10-16,솔랭,승리,1900-01-01 00:15:16,릴리아,점멸,순간이동,16,215,7.1
5512683587,2021-10-16,솔랭,승리,1900-01-01 00:15:16,벡스,점멸,점화,11,104,6.2
5512535337,2021-10-15,솔랭,승리,1900-01-01 00:15:16,케이틀린,점멸,회복,12,148,6.1
5512352078,2021-10-15,자유 5:5 랭크,패배,1900-01-01 00:15:16,탐 켄치,점멸,순간이동,13,126,5.9
5512286066,2021-10-15,자유 5:5 랭크,패배,1900-01-01 00:15:16,릴리아,점멸,순간이동,12,135,6.6
5512238405,2021-10-15,자유 5:5 랭크,패배,1900-01-01 00:15:16,라이즈,점멸,순간이동,12,126,5.9
5511084818,2021-10-15,자유 5:5 랭크,승리,1900-01-01 00:15:16,케이틀린,점멸,회복,15,193,6.7
5510958710,2021-10-14,솔랭,승리,1900-01-01 00:15:16,이즈리얼,점멸,회복,14,192,6.5
5510899561,2021-10-14,자유 5:5 랭크,패배,1900-01-01 00:15:16,칼리스타,점멸,회복,16,216,5.7
5510759933,2021-10-14,솔랭,승리,1900-01-01 00:15:16,베인,점멸,회복,12,154,7.5
5510813548,2021-10-14,우르프,승리,1900-01-01 00:15:16,벡스,점멸,점화,22,103,5.2
5509682726,2021-10-14,자유 5:5 랭크,승리,1900-01-01 00:15:16,칼리스타,점멸,회복,16,227,6.3
5509569905,2021-10-14,자유 5:5 랭크,패배,1900-01-01 00:15:16,벡스,점멸,점화,10,99,6.3
5509652414,2021-10-14,자유 5:5 랭크,패배,1900-01-01 00:15:16,라이즈,점멸,순간이동,16,242,7.5
5509494613,2021-10-13,솔랭,패배,1900-01-01 00:15:16,탐 켄치,점멸,순간이동,14,182,7.0
5509470794,2021-10-13,솔랭,패배,1900-01-01 00:15:16,릴리아,점멸,순간이동,11,113,5.5
5509392627,2021-10-13,솔랭,패배,1900-01-01 00:15:16,벡스,점멸,점화,15,224,6.7
5508655204,2021-10-13,솔랭,승리,1900-01-01 00:15:16,벡스,점멸,점화,18,299,6.8
5508611526,2021-10-13,솔랭,승리,1900-01-01 00:15:16,카이사,점멸,회복,17,231,6.3
5507702710,2021-10-12,솔랭,패배,1900-01-01 00:15:16,벡스,점멸,점화,13,176,6.4
5507538958,2021-10-12,우르프,패배,1900-01-01 00:15:16,마스터 이,점멸,점화,18,114,6.7
5507566301,2021-10-12,우르프,승리,1900-01-01 00:15:16,샤코,점멸,점화,14,81,6.2
5507471224,2021-10-12,솔랭,승리,1900-01-01 00:15:16,벡스,점멸,순간이동,14,160,7.8
5507248079,2021-10-12,우르프,패배,1900-01-01 00:15:16,유미,탈진,점화,14,6,0.4
5506817225,2021-10-12,솔랭,승리,1900-01-01 00:15:16,라이즈,점멸,순간이동,18,292,7.6
5506804651,2021-10-12,우르프,승리,1900-01-01 00:15:16,샤코,점멸,점화,25,188,8.0
5506780400,2021-10-12,솔랭,승리,1900-01-01 00:15:16,벡스,순간이동,점멸,15,197,6.4
5506147890,2021-10-11,솔랭,승리,1900-01-01 00:15:16,아크샨,순간이동,점멸,13,130,5.9
5506069394,2021-10-11,솔랭,패배,1900-01-01 00:15:16,렝가,순간이동,점멸,16,212,6.6
5505935328,2021-10-11,솔랭,승리,1900-01-01 00:15:16,트린다미어,점멸,유체화,13,146,6.2
5505857981,2021-10-11,솔랭,승리,1900-01-01 00:15:16,렝가,점화,점멸,17,210,6.7
5505548791,2021-10-11,우르프,승리,1900-01-01 00:15:16,쓰레쉬,유체화,점멸,12,73,6.4
5505564934,2021-10-11,우르프,승리,1900-01-01 00:15:16,벡스,탈진,점멸,16,80,5.6
5505272220,2021-10-11,솔랭,패배,1900-01-01 00:15:16,벡스,점멸,점화,18,232,5.6
5505007815,2021-10-11,우르프,패배,1900-01-01 00:15:16,트린다미어,점멸,유체화,23,130,6.6
5505004323,2021-10-11,솔랭,승리,1900-01-01 00:15:16,벡스,점멸,점화,14,146,6.0
5505000818,2021-10-11,솔랭,승리,1900-01-01 00:15:16,모르가나,점멸,순간이동,11,26,1.2
5504937802,2021-10-11,우르프,승리,1900-01-01 00:15:16,트린다미어,점멸,유체화,20,133,7.4
5504685577,2021-10-11,우르프,승리,1900-01-01 00:15:16,벡스,점멸,점화,24,171,7.9
5504558146,2021-10-11,솔랭,패배,1900-01-01 00:15:16,사일러스,점멸,순간이동,18,206,4.7
5504386013,2021-10-10,우르프,패배,1900-01-01 00:15:16,샤코,점멸,점화,20,112,6.2
5504293177,2021-10-10,솔랭,패배,1900-01-01 00:15:16,루시안,점멸,회복,11,141,5.5
5504174773,2021-10-10,솔랭,패배,1900-01-01 00:15:16,벡스,점멸,점화,14,124,3.8
5503856133,2021-10-10,솔랭,패배,1900-01-01 00:15:16,샤코,점화,강타,14,111,3.6
5503460211,2021-10-10,솔랭,패배,1900-01-01 00:15:16,벡스,점멸,점화,15,170,5.2
5503343053,2021-10-10,솔랭,패배,1900-01-01 00:15:16,말파이트,점멸,순간이동,16,121,4.0
5503235825,2021-10-10,솔랭,패배,1900-01-01 00:15:16,카이사,점멸,회복,13,153,5.4
5503178459,2021-10-10,솔랭,패배,1900-01-01 00:15:16,트리스타나,점멸,회복,13,183,6.3
5502988595,2021-10-10,우르프,승리,1900-01-01 00:15:16,사일러스,점멸,탈진,21,138,6.9
5502916937,2021-10-10,우르프,패배,1900-01-01 00:15:16,니달리,점멸,점화,19,73,4.1
5499895322,2021-10-09,솔랭,패배,1900-01-01 00:15:16,아크샨,점멸,회복,12,180,6.8
5499842407,2021-10-09,솔랭,승리,1900-01-01 00:15:16,벡스,점멸,점화,13,157,7.1
5499804125,2021-10-09,솔랭,승리,1900-01-01 00:15:16,말자하,점멸,순간이동,15,152,5.6
5499740871,2021-10-09,우르프,승리,1900-01-01 00:15:16,샤코,점멸,점화,17,91,6.0
5499610146,2021-10-08,솔랭,패배,1900-01-01 00:15:16,벡스,점멸,점화,14,147,5.4
5499463370,2021-10-08,솔랭,패배,1900-01-01 00:15:16,베인,점멸,회복,13,163,5.8
5499394051,2021-10-08,솔랭,패배,1900-01-01 00:15:16,벡스,점멸,점화,16,198,6.9
5499279325,2021-10-08,우르프,패배,1900-01-01 00:15:16,샤코,점멸,점화,18,89,4.7
5497863377,2021-10-07,솔랭,승리,1900-01-01 00:15:16,오리아나,점멸,순간이동,11,135,8.3
5497505789,2021-10-07,솔랭,패배,1900-01-01 00:15:16,칼리스타,점멸,회복,15,235,7.2
5497389781,2021-10-07,솔랭,승리,1900-01-01 00:15:16,벡스,점멸,점화,15,141,4.6
5497376382,2021-10-07,우르프,승리,1900-01-01 00:15:16,샤코,점멸,점화,14,51,4.2
5497383084,2021-10-07,우르프,승리,1900-01-01 00:15:16,헤카림,점멸,유체화,17,96,6.0
5497329523,2021-10-07,우르프,승리,1900-01-01 00:15:16,트위치,점멸,유체화,17,79,4.7
5496016697,2021-10-06,솔랭,패배,1900-01-01 00:15:16,벡스,점멸,순간이동,15,180,6.5
5495933230,2021-10-06,솔랭,승리,1900-01-01 00:15:16,오리아나,점멸,순간이동,13,145,6.0
5495859877,2021-10-06,우르프,승리,1900-01-01 00:15:16,샤코,점멸,점화,18,105,6.8
5494640621,2021-10-05,솔랭,패배,1900-01-01 00:15:16,벡스,점멸,점화,17,182,5.1
5494507307,2021-10-05,솔랭,승리,1900-01-01 00:15:16,벡스,점멸,점화,18,293,7.1
5494441412,2021-10-05,솔랭,승리,1900-01-01 00:15:16,벡스,점멸,점화,14,161,5.5
5494342308,2021-10-05,우르프,패배,1900-01-01 00:15:16,샤코,점멸,점화,14,83,4.9
5494310229,2021-10-05,우르프,승리,1900-01-01 00:15:16,세나,점멸,점화,15,61,3.7
5493114176,2021-10-04,솔랭,승리,1900-01-01 00:15:16,칼리스타,점멸,회복,15,198,6.5
5492963658,2021-10-04,솔랭,패배,1900-01-01 00:15:16,벡스,점멸,점화,17,199,5.9
5492792845,2021-10-04,솔랭,패배,1900-01-01 00:15:16,벡스,점멸,점화,18,227,6.7
5492708035,2021-10-04,우르프,패배,1900-01-01 00:15:16,샤코,점멸,점화,17,112,6.0
5492655432,2021-10-04,우르프,승리,1900-01-01 00:15:16,마스터 이,점멸,점화,17,113,5.6
5492545553,2021-10-04,우르프,패배,1900-01-01 00:15:16,마스터 이,점멸,점화,18,139,6.6
5492301759,2021-10-04,우르프,승리,1900-01-01 00:15:16,벡스,점멸,점화,16,104,5.4
5491889609,2021-10-04,솔랭,패배,1900-01-01 00:15:16,벡스,점멸,점화,15,191,5.3
5491842863,2021-10-04,솔랭,승리,1900-01-01 00:15:16,벡스,점멸,점화,16,196,5.7
5491389227,2021-10-04,솔랭,승리,1900-01-01 00:15:16,벡스,점멸,점화,14,131,5.8
5491052425,2021-10-03,솔랭,승리,1900-01-01 00:15:16,벡스,점멸,점화,18,254,7.3
5490777834,2021-10-03,우르프,승리,1900-01-01 00:15:16,샤코,점멸,점화,17,110,5.8
5490618016,2021-10-03,솔랭,승리,1900-01-01 00:15:16,벡스,점멸,점화,16,124,3.9
5490320618,2021-10-03,우르프,승리,1900-01-01 00:15:16,이즈리얼,점멸,점화,13,99,7.0
5490217543,2021-10-03,우르프,승리,1900-01-01 00:15:16,샤코,점멸,점화,14,82,5.5
5490080236,2021-10-03,솔랭,패배,1900-01-01 00:15:16,사일러스,점멸,점화,13,115,4.6
